sourceid,dstid,hod,ride time
15,77,12,16.39833333
13,97,12,23.75766667
18,47,12,24.12366667
90,16,4,8.209166667
19,37,12,3.362
14,87,12,21.3875
17,57,12,4.710833333
103,113,7,38.37966667
104,103,7,17.564
102,123,7,26.271
97,130,10,20.803
98,120,10,32.7945
139,81,10,10.99533333
119,135,12,27.65416667
40,103,0,24.55
140,26,21,14.11216667
113,86,19,8.488333333
116,56,19,18.9135
115,66,19,10.74233333
104,7,18,26.43233333
119,26,19,5.614666667
115,20,9,38.228
114,30,9,44.962
111,60,9,28.04383333
141,16,21,25.91016667
113,40,9,30.854
118,36,19,28.62583333
136,133,11,7.681333333
139,103,11,24.86166667
138,113,11,29.03466667
137,123,11,25.87883333
112,51,14,22.685
113,41,14,17.79333333
115,21,14,28.39333333
111,61,14,30.40966667
114,31,14,16.27066667
116,123,20,12.86083333
117,113,20,31.89016667
118,103,20,25.75416667
116,11,14,5.437666667
115,133,20,21.60483333
132,32,7,3.550833333
131,42,7,9.103166667
112,96,19,25.84
134,12,7,34.85616667
38,86,17,17.21033333
39,76,17,32.11983333
90,22,17,10.36383333
91,12,17,41.143
119,108,4,23.3955
117,128,4,21.325
114,76,19,22.52783333
89,9,14,21.82383333
110,71,14,16.375
49,132,21,26.10583333
113,34,12,21.84
114,24,12,19.73283333
95,81,11,24.366
94,91,11,8.919
115,14,12,10.2655
96,71,11,25.53566667
100,105,17,34.27666667
110,64,12,23.55416667
97,61,11,19.14666667
111,54,12,27.11666667
98,6,9,13.71216667
97,59,0,16.20716667
96,69,0,1.918833333
93,99,0,21.912
98,49,0,7.639833333
89,139,18,37.13133333
95,79,0,4.057
52,55,23,13.43316667
83,96,8,37.17716667
85,76,8,3.233
55,25,23,17.28716667
87,56,8,23.6335
50,75,23,13.01983333
86,66,8,29.76716667
94,89,0,3.4815
56,15,23,26.71483333
89,36,8,29.08333333
53,45,23,20.0985
90,20,21,29.03383333
54,35,23,25.25
81,115,0,4.202833333
80,125,0,19.66683333
82,105,0,22.37066667
139,135,20,19.35483333
102,48,13,10.67733333
104,28,13,18.6595
59,2,14,13.09833333
105,18,13,24.41383333
100,68,13,31.06633333
26,5,15,16.89233333
101,58,13,24.42783333
141,43,7,11.5885
140,53,7,28.947
103,38,13,16.73283333
139,130,21,4.343666667
138,140,21,21.1235
30,47,20,31.91566667
31,37,20,8.748666667
33,17,20,20.63916667
47,33,23,21.35716667
42,83,23,9.255
49,13,23,17.33533333
32,27,20,25.96416667
44,63,23,14.88333333
21,93,13,20.19033333
26,43,13,20.17083333
23,73,13,31.037
48,23,23,19.978
28,23,13,24.59583333
46,43,23,24.55416667
53,59,2,3.278166667
56,29,2,27.03683333
55,39,2,6.175666667
41,93,23,8.27
54,49,2,15.9675
25,53,13,21.65233333
52,69,2,22.8295
115,93,17,38.89333333
116,83,17,33.602
52,121,9,12.85333333
51,131,9,10.03966667
53,111,9,24.56766667
57,19,2,24.87166667
54,101,9,14.27166667
117,73,17,35.3205
50,141,9,31.51116667
119,53,17,8.5815
29,13,13,35.11
45,53,23,17.42083333
130,3,17,34.90283333
27,33,13,28.6275
